stream,step,processed,true_unique,estimate,estimate_plus
20,14,37500,36057,36538.6,36538.6
20,15,40000,38455,38570.5,38570.5
20,16,42500,40831,40770.8,40770.8
20,17,45000,43232,43028.1,43028.1
20,18,47500,45608,45699.9,45699.9
20,19,50000,48000,47629.9,47629.9
21,0,2500,2466,2392.42,2392.42
21,1,5000,4891,4700.02,4690.39
21,2,7500,7303,7023.2,7023.2
21,3,10000,9714,9650.54,9650.54
21,4,12500,12127,11955.8,11955.8
21,5,15000,14534,14492.5,14492.5
21,6,17500,16941,16830.4,16830.4
21,7,20000,19352,18988.8,18988.8
21,8,22500,21741,21624.1,21624.1
21,9,25000,24150,24211.2,24211.2
21,10,27500,26535,26105.7,26105.7
21,11,30000,28928,28060.2,28060.2
21,12,32500,31322,30490.8,30490.8
21,13,35000,33730,32702.1,32702.1
21,14,37500,36135,35477.1,35477.1
21,15,40000,38535,37749.5,37749.5
21,16,42500,40935,40231.6,40231.6
21,17,45000,43324,42956.6,42956.6
21,18,47500,45719,45468.5,45468.5
21,19,50000,48079,48192.8,48192.8
22,0,2500,2472,2423.93,2423.93
22,1,5000,4915,4792.2,4784.53
22,2,7500,7340,7532.28,7532.28
22,3,10000,9748,9971.88,9971.88
22,4,12500,12153,12478.6,12478.6
22,5,15000,14581,14718.2,14718.2
22,6,17500,16975,16723.8,16723.8
22,7,20000,19381,19382.5,19382.5
22,8,22500,21779,21871.4,21871.4
22,9,25000,24188,24457.5,24457.5
22,10,27500,26592,26781.5,26781.5
22,11,30000,28982,28853,28853
22,12,32500,31370,31052.7,31052.7
22,13,35000,33759,33278.5,33278.5
22,14,37500,36147,35991.5,35991.5
22,15,40000,38534,38277.9,38277.9
22,16,42500,40934,40331.4,40331.4
22,17,45000,43327,43633.9,43633.9
22,18,47500,45728,45506.8,45506.8
22,19,50000,48112,47017.5,47017.5
23,0,2500,2453,2423.93,2423.93
23,1,5000,4879,4696.71,4687
23,2,7500,7288,7035.95,7035.95
23,3,10000,9714,9842.44,9842.44
23,4,12500,12147,12185.4,12185.4
23,5,15000,14560,14771.5,14771.5
23,6,17500,16971,17280.4,17280.4
23,7,20000,19377,19926.7,19926.7
23,8,22500,21779,22587.7,22587.7
23,9,25000,24198,25314.2,25314.2
23,10,27500,26598,28281.1,28281.1
23,11,30000,29016,30468.9,30468.9
23,12,32500,31422,32863.6,32863.6
23,13,35000,33825,34847.4,34847.4
23,14,37500,36227,37664.4,37664.4
23,15,40000,38612,39985.5,39985.5
23,16,42500,40995,41825,41825
23,17,45000,43387,43636.7,43636.7
23,18,47500,45761,45687.9,45687.9
23,19,50000,48137,49222.6,49222.6
24,0,2500,2461,2560.67,2560.67
24,1,5000,4899,5043.61,5041.73
24,2,7500,7323,7480.24,7480.24
24,3,10000,9740,10159.2,10159.2
24,4,12500,12157,12814.4,12814.4
24,5,15000,14575,15554.4,15554.4
24,6,17500,16992,17863,17863
24,7,20000,19399,19600.3,19600.3
24,8,22500,21802,22259.4,22259.4
24,9,25000,24193,24509.5,24509.5
24,10,27500,26585,27266.5,27266.5
24,11,30000,28984,29672.9,29672.9
24,12,32500,31372,31999.9,31999.9
24,13,35000,33757,35629.3,35629.3
24,14,37500,36149,38513,38513
24,15,40000,38533,40100.6,40100.6
24,16,42500,40937,42194.7,42194.7
24,17,45000,43320,44150.5,44150.5
24,18,47500,45718,46614.4,46614.4
24,19,50000,48102,48318.9,48318.9
25,0,2500,2465,2513.03,2513.03
25,1,5000,4877,4647.97,4637.25
25,2,7500,7285,7133.5,7133.5
25,3,10000,9715,9748.49,9748.49
25,4,12500,12121,12094,12094
25,5,15000,14539,14840.4,14840.4
25,6,17500,16943,17553.2,17553.2
25,7,20000,19357,20238.8,20238.8
25,8,22500,21759,22966.3,22966.3
25,9,25000,24165,25082.9,25082.9
25,10,27500,26574,28522.7,28522.7
25,11,30000,28978,31676.3,31676.3
25,12,32500,31382,33832,33832
25,13,35000,33764,36186.2,36186.2
25,14,37500,36147,39262.7,39262.7
25,15,40000,38554,41093.7,41093.7
25,16,42500,40952,43770.9,43770.9
25,17,45000,43326,46585.7,46585.7
25,18,47500,45701,49080.7,49080.7
25,19,50000,48104,51503.4,51503.4
26,0,2500,2462,2581.52,2549.53
26,1,5000,4870,5064.57,5063.2
26,2,7500,7276,7282.46,7282.46
26,3,10000,9690,10369.3,10369.3
26,4,12500,12083,13143.6,13143.6
26,5,15000,14495,15698.6,15698.6
26,6,17500,16890,17735.2,17735.2
26,7,20000,19292,20027.9,20027.9
26,8,22500,21714,22021.6,22021.6
26,9,25000,24119,24499.5,24499.5
26,10,27500,26508,26589.3,26589.3
26,11,30000,28902,28096.6,28096.6
26,12,32500,31284,30952.6,30952.6
26,13,35000,33666,32994.7,32994.7
26,14,37500,36069,35159.1,35159.1
26,15,40000,38447,38279.9,38279.9
26,16,42500,40842,41445.9,41445.9
26,17,45000,43231,43776.9,43776.9
26,18,47500,45613,45148.8,45148.8
26,19,50000,48016,47551.8,47551.8
27,0,2500,2441,2332.17,2332.17
27,1,5000,4881,5021.9,5019.49
27,2,7500,7293,7414.67,7414.67
27,3,10000,9709,9925.87,9925.87
27,4,12500,12122,12166.2,12166.2
27,5,15000,14534,15023.8,15023.8
27,6,17500,16934,16816.9,16816.9
27,7,20000,19322,18910.8,18910.8
27,8,22500,21720,21414.7,21414.7
27,9,25000,24126,24228.1,24228.1
27,10,27500,26535,26139,26139
27,11,30000,28952,28370.9,28370.9
27,12,32500,31348,30658,30658
27,13,35000,33748,34029.5,34029.5
27,14,37500,36149,36886.5,36886.5
27,15,40000,38542,39546.9,39546.9
27,16,42500,40926,41853.1,41853.1
27,17,45000,43325,43400.9,43400.9
27,18,47500,45733,46176.3,46176.3
27,19,50000,48112,48823.6,48823.6
28,0,2500,2472,2501.46,2501.46
28,1,5000,4893,4847.85,4841.41
28,2,7500,7318,7073.46,7073.46
28,3,10000,9715,9286.26,9286.26
28,4,12500,12139,11968.5,11968.5
28,5,15000,14547,14472,14472
28,6,17500,16957,16884.9,16884.9
28,7,20000,19358,19600.9,19600.9
28,8,22500,21763,22038.3,22038.3
28,9,25000,24181,24608.7,24608.7
28,10,27500,26604,26978.3,26978.3
28,11,30000,28988,29408.1,29408.1
28,12,32500,31382,31827,31827
28,13,35000,33781,34589.6,34589.6
28,14,37500,36180,36828.9,36828.9
28,15,40000,38584,39230,39230
28,16,42500,40954,42439.6,42439.6
28,17,45000,43341,44561.9,44561.9
